year,loudness
1921,-17.04866666666667
1922,-19.275281690140847
1923,-14.129210810810811
1924,-14.231343220338982
1925,-14.146413669064748
1926,-18.492538461538462
1927,-14.422373983739838
1928,-17.191982553528945
1929,-16.530376050420166
1930,-12.869221413721414
1931,-16.51609420289855
1932,-13.364055776892432
1933,-13.069008683068017
1934,-14.756875432525952
1935,-15.414749670619235
1936,-14.612999090909092
1937,-13.11514307458143
1938,-14.290582381729202
1939,-13.90057
1940,-13.684048
1941,-15.755536458333333
1942,-15.029032104637336
1943,-13.602125352112676
1944,-14.58205585106383
1945,-16.9814715
1946,-16.921774361948955
1947,-14.37760787878788
1948,-15.505407368421054
1949,-15.525844999999999
1950,-13.863834500000001
1951,-15.812066000000002
1952,-15.958866
1953,-15.499134871794872
1954,-15.4080045
1955,-13.842262
1956,-14.1751955
1957,-14.12484871794872
1958,-14.165171
1959,-14.460136923076924
1960,-13.814102702702703
1961,-14.171330526315788
1962,-13.177364210526315
1963,-13.670647
1964,-13.048075897435897
1965,-11.888213333333333
1966,-11.3569195
1967,-11.708829414707354
1968,-12.043861999999999
1969,-12.062166
1970,-11.772558
1971,-12.079936
1972,-11.7735635
1973,-11.260197
1974,-11.816488999999999
1975,-11.485939
1976,-11.114237
1977,-11.0773545
1978,-10.891868
1979,-10.9775135
1980,-10.700942051282052
1981,-10.924404500000001
1982,-10.9331225
1983,-11.200171000000001
1984,-11.5232385
1985,-11.3606885
1986,-11.103995000000001
1987,-11.623467179487179
1988,-11.519821025641026
1989,-11.384129999999999
1990,-11.327479499999999
1991,-10.955768717948718
1992,-10.575404500000001
1993,-10.882700999999999
1994,-10.282273
1995,-10.11945
1996,-9.443818499999999
1997,-9.2008755
1998,-8.971168
1999,-8.266409533572526
2000,-8.247765848670756
2001,-8.305095261845386
2002,-7.6866395
2003,-7.48554503582395
2004,-7.6016551373346894
2005,-7.466158974358975
2006,-7.2655005128205135
2007,-7.044535897435897
2008,-6.843804092071611
2009,-7.046014795918367
2010,-6.909904265873016
2011,-7.574986117997025
2012,-7.260549614395887
2013,-7.472039473684211
2014,-7.067439900249377
2015,-7.6256393110435665
2016,-8.061056204785755
2017,-8.31262951807229
2018,-7.16878506894912
2019,-7.7221918932786044
2020,-6.595066995073892
