year,duration_sec
1921,261
1922,165
1923,178
1924,191
1925,185
1926,157
1927,185
1928,215
1929,169
1930,195
1931,172
1932,196
1933,196
1934,189
1935,220
1936,221
1937,223
1938,249
1939,222
1940,182
1941,202
1942,222
1943,240
1944,246
1945,196
1946,268
1947,233
1948,199
1949,223
1950,215
1951,213
1952,229
1953,217
1954,224
1955,222
1956,212
1957,242
1958,214
1959,216
1960,210
1961,232
1962,209
1963,201
1964,196
1965,196
1966,216
1967,199
1968,215
1969,243
1970,243
1971,261
1972,246
1973,257
1974,253
1975,255
1976,268
1977,257
1978,249
1979,253
1980,253
1981,251
1982,248
1983,251
1984,252
1985,252
1986,255
1987,248
1988,257
1989,254
1990,256
1991,246
1992,247
1993,252
1994,251
1995,247
1996,248
1997,246
1998,249
1999,245
2000,243
2001,240
2002,240
2003,245
2004,237
2005,237
2006,234
2007,241
2008,240
2009,238
2010,243
2011,237
2012,246
2013,242
2014,234
2015,230
2016,221
2017,211
2018,206
2019,201
2020,194
