year,explicit_ratio
1921,0.04666666666666667
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.17126269956458637
1927,0.01951219512195122
1928,0.0
1929,0.45168067226890757
1930,0.0036382536382536385
1931,0.31262939958592134
1932,0.0
1933,0.004341534008683068
1934,0.0
1935,0.17918313570487485
1936,0.0
1937,0.0106544901065449
1938,0.0
1939,0.0
1940,0.1945
1941,0.010416666666666666
1942,0.0
1943,0.0
1944,0.0013297872340425532
1945,0.2605
1946,0.001160092807424594
1947,0.0
1948,0.08947368421052632
1949,0.0
1950,0.0465
1951,0.0025
1952,0.0255
1953,0.002564102564102564
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0005
1964,0.0
1965,0.0015384615384615385
1966,0.0
1967,0.0005002501250625312
1968,0.0
1969,0.003
1970,0.0005
1971,0.0005
1972,0.0025
1973,0.001
1974,0.001
1975,0.0055
1976,0.001
1977,0.0055
1978,0.009
1979,0.009
1980,0.0071794871794871795
1981,0.013
1982,0.025
1983,0.015
1984,0.015
1985,0.0215
1986,0.016
1987,0.02666666666666667
1988,0.05333333333333334
1989,0.04
1990,0.044
1991,0.059487179487179485
1992,0.0875
1993,0.086
1994,0.1325
1995,0.1395
1996,0.153
1997,0.125
1998,0.163
1999,0.16094310609943618
2000,0.1549079754601227
2001,0.1690773067331671
2002,0.115
2003,0.13203684749232344
2004,0.15768056968463887
2005,0.17435897435897435
2006,0.12512820512820513
2007,0.11846153846153847
2008,0.11713554987212277
2009,0.1489795918367347
2010,0.14434523809523808
2011,0.1700545364402578
2012,0.18611825192802056
2013,0.22064777327935223
2014,0.21895261845386535
2015,0.2608915906788247
2016,0.3099610461880913
2017,0.33835341365461846
2018,0.42796005706134094
2019,0.3986659825551565
2020,0.49556650246305417
