year,speechiness
1921,0.073662
1922,0.1166549295774648
1923,0.09394864864864866
1924,0.09208940677966101
1925,0.11191798561151078
1926,0.48370362844702464
1927,0.11360959349593495
1928,0.1599114988104679
1929,0.49000073529411764
1930,0.11990966735966736
1931,0.45361894409937886
1932,0.13900737051792827
1933,0.09112315484804631
1934,0.10245692041522492
1935,0.3539123847167326
1936,0.27902936363636366
1937,0.08567884322678843
1938,0.09595725938009789
1939,0.1284627
1940,0.24295765
1941,0.09136520833333334
1942,0.08367835909631391
1943,0.10571957746478874
1944,0.17328324468085107
1945,0.3050973
1946,0.08800591647331786
1947,0.10056381818181817
1948,0.16435931578947366
1949,0.10299209999999999
1950,0.15345275
1951,0.10850665
1952,0.13736179999999998
1953,0.0900882564102564
1954,0.1048133
1955,0.0895582
1956,0.06231235
1957,0.0643531282051282
1958,0.056999299999999996
1959,0.06787430769230769
1960,0.06578351351351351
1961,0.05947594736842105
1962,0.05773984210526316
1963,0.052036149999999996
1964,0.06659446153846153
1965,0.05755646153846154
1966,0.05596405
1967,0.0490983991995998
1968,0.0589885
1969,0.054975
1970,0.0516815
1971,0.0594224
1972,0.054871249999999996
1973,0.05782575
1974,0.05731935
1975,0.06109845
1976,0.06274995
1977,0.06085455
1978,0.06275739999999999
1979,0.0690586
1980,0.059248615384615386
1981,0.057915999999999995
1982,0.06585305
1983,0.066886
1984,0.0592648
1985,0.0584648
1986,0.0648161
1987,0.05778964102564103
1988,0.06609989743589743
1989,0.06393925
1990,0.0643453
1991,0.07110158974358974
1992,0.0730623
1993,0.07635055
1994,0.07604935
1995,0.08375445000000001
1996,0.08607765
1997,0.08850605
1998,0.09173105
1999,0.09440717580727832
2000,0.0892054192229039
2001,0.08918229426433914
2002,0.0843076
2003,0.09392574206755373
2004,0.09423880976602239
2005,0.09333369230769231
2006,0.08584676923076923
2007,0.08434733333333333
2008,0.077356368286445
2009,0.08545780612244898
2010,0.08103149801587302
2011,0.08747927615270203
2012,0.08174246786632391
2013,0.09384888663967611
2014,0.08406054862842893
2015,0.09677922998986829
2016,0.10431329994435169
2017,0.11053649598393575
2018,0.12717555872563005
2019,0.12104335556695742
2020,0.14138369458128078
