year,major_key_ratio
1921,0.6733333333333333
1922,0.6338028169014085
1923,0.7891891891891892
1924,0.7542372881355932
1925,0.7302158273381295
1926,0.6611030478955007
1927,0.6666666666666666
1928,0.7034099920697859
1929,0.7111344537815126
1930,0.672037422037422
1931,0.6863354037267081
1932,0.7350597609561753
1933,0.6989869753979739
1934,0.7301038062283737
1935,0.6758893280632411
1936,0.6436363636363637
1937,0.7123287671232876
1938,0.763458401305057
1939,0.72
1940,0.6245
1941,0.6927083333333334
1942,0.7300832342449465
1943,0.7295774647887324
1944,0.6502659574468085
1945,0.7335
1946,0.7111368909512761
1947,0.7181818181818181
1948,0.6826315789473684
1949,0.736
1950,0.6945
1951,0.731
1952,0.7325
1953,0.7364102564102564
1954,0.719
1955,0.652
1956,0.7045
1957,0.6743589743589744
1958,0.7235
1959,0.7415384615384616
1960,0.7475675675675676
1961,0.7189473684210527
1962,0.7352631578947368
1963,0.7525
1964,0.7702564102564102
1965,0.78
1966,0.7575
1967,0.7493746873436719
1968,0.7795
1969,0.7465
1970,0.7745
1971,0.7605
1972,0.7485
1973,0.762
1974,0.7435
1975,0.741
1976,0.7265
1977,0.7345
1978,0.722
1979,0.719
1980,0.7317948717948718
1981,0.715
1982,0.6925
1983,0.693
1984,0.709
1985,0.6945
1986,0.714
1987,0.7338461538461538
1988,0.7056410256410256
1989,0.7105
1990,0.73
1991,0.74
1992,0.751
1993,0.742
1994,0.7215
1995,0.727
1996,0.714
1997,0.6995
1998,0.7035
1999,0.7022039979497694
2000,0.6789366053169734
2001,0.6917705735660847
2002,0.688
2003,0.691914022517912
2004,0.671414038657172
2005,0.6851282051282052
2006,0.6687179487179488
2007,0.6871794871794872
2008,0.6982097186700768
2009,0.6933673469387756
2010,0.6969246031746031
2011,0.6931085770946951
2012,0.6580976863753213
2013,0.6492914979757085
2014,0.6728179551122194
2015,0.610435663627153
2016,0.6460767946577629
2017,0.623995983935743
2018,0.6119828815977175
2019,0.6198050282195998
2020,0.5812807881773399
