year,acousticness
1921,0.886896
1922,0.9385915492957747
1923,0.9572467913513514
1924,0.9401998601694915
1925,0.9626070503597123
1926,0.660817216981132
1927,0.9361794552845528
1928,0.9386165035685964
1929,0.6014265861344538
1930,0.9367149373700624
1931,0.8330399585921324
1932,0.9357705179282868
1933,0.8998979091172213
1934,0.8911487501730104
1935,0.7783855599472991
1936,0.77231208
1937,0.8654357853881279
1938,0.9192803908646003
1939,0.9087381
1940,0.84764405
1941,0.89573765625
1942,0.85293437039239
1943,0.9027523185915493
1944,0.9076531914893617
1945,0.7096568630000001
1946,0.9199445823665893
1947,0.9139650224242424
1948,0.922155
1949,0.9075328949999999
1950,0.8539413006
1951,0.90229719565
1952,0.8743009245
1953,0.8909223502564103
1954,0.8650197273
1955,0.8405510070000001
1956,0.82305699
1957,0.792802358974359
1958,0.779611865
1959,0.7793927897435897
1960,0.7671814843243243
1961,0.7519038684210526
1962,0.7206078068421052
1963,0.72270483
1964,0.6941005307692307
1965,0.6099113295384615
1966,0.5248094599700001
1967,0.5296103243521761
1968,0.49377024035
1969,0.448846304
1970,0.46005711395
1971,0.45833629810000004
1972,0.46004280519999996
1973,0.416524189
1974,0.44720742259999996
1975,0.433773887195
1976,0.36147063211
1977,0.339302533375
1978,0.32896857345
1979,0.29593224063
1980,0.28495539763589744
1981,0.30120422674
1982,0.289580038205
1983,0.29477789163
1984,0.287709580345
1985,0.29657090320999996
1986,0.28508065642499997
1987,0.31166406639487176
1988,0.3220099465128205
1989,0.313351251815
1990,0.332869950585
1991,0.33276529163076923
1992,0.320808763825
1993,0.30906855374000003
1994,0.30623436308999996
1995,0.30251180612
1996,0.30102687980000004
1997,0.306715693455
1998,0.29148946157
1999,0.2715901110661199
2000,0.2893227005163599
2001,0.28684247484289277
2002,0.282624289885
2003,0.2564705181729785
2004,0.28055894662258396
2005,0.25576350686666666
2006,0.27998635202564104
2007,0.25408095755384613
2008,0.24919176272122762
2009,0.26192861909693876
2010,0.2426866435515873
2011,0.27318266251859197
2012,0.24995304438046273
2013,0.25748808595647776
2014,0.24931264588029925
2015,0.25395225771023305
2016,0.2841710299554814
2017,0.2860990665261044
2018,0.26763299077508323
2019,0.27829858633658283
2020,0.21993088809359604
