date,shape,latitude,longitude
1906-11,,48.208174,16.373819
1910-01,disk,40.1947222,-92.5830556
1910-05,,44.9494444,-69.8588889
1916-04,cigar,46.227638,2.213749
1920-06,,40.1238889,-86.0133333
1929-07,disk,43.6425000,-118.6275000
1930-06,triangle,42.509167,-76.393804
1930-06,,40.0277778,-74.8694444
1933-04,light,40.759941,-73.849168
1934-09,disk,46.9233333,-98.0027778
1935-06,circle,40.625401,-121.047641
1936-09,rectangle,52.25,-81.616667
1936-10,cigar,61.4580556,-149.3622222
1937-06,cylinder,45.1825000,-122.8066667
1939-06,fireball,34.9180556,-88.0641667
1939-06,sphere,34.5227778,-82.4944444
1939-07,oval,40.3972222,-91.3847222
1943-04,,59.670367,-139.859082
1944-04,disk,48.459263,-123.376722
1945-07,sphere,32.7833333,-96.8000000
1946-06,fireball,47.8208333,-121.5538889
1946-09,flash,32.7552778,-114.3613889
1947-04,triangle,32.715738,-117.161084
1947-06,,47.2530556,-122.4430556
1947-06,,32.6152778,-93.2866667
1947-06,circle,35.9911111,-106.0800000
1947-07,circle,37.9358333,-122.3466667
1947-07,disk,36.1750000,-115.1363889
1947-07,disk,42.5963889,-114.1352778
1947-07,formation,47.5225000,-120.4686111
1947-07,chevron,37.3394444,-121.8938889
1947-08,cigar,35.9661111,-94.7772222
1947-08,,44.7955556,-88.2702778
1947-12,cigar,42.4394444,-83.7438889
1948-04,disk,38.9780556,-122.8383333
1948-06,rectangle,47.006174,-65.42088
1948-06,,38.657569,-81.835344
1948-06,oval,39.2902778,-76.6125000
1949-04,disk,47.6063889,-122.3308333
1949-06,disk,61.2180556,-149.9002778
1949-08,disk,47.1700000,-122.6013889
1949-09,disk,33.1908333,-101.3777778
1949-10,cylinder,29.8830556,-97.9411111
1949-10,light,29.38421,-98.581082
1950-04,disk,35.20105,-91.831833
1950-04,disk,38.068469,-78.889468
1950-06,disk,45.9697222,-89.8919444
1950-06,disk,39.0997222,-94.5783333
1950-06,disk,34.6580556,-88.5666667
1950-06,,34.1733333,-90.1375000
1950-06,oval,40.4405556,-79.9961111
1950-07,formation,34.597241,-119.510771
1950-08,disk,45.7805556,-119.2161111
1950-10,disk,37.4791667,-82.5188889
1951-01,cigar,33.8302778,-116.5444444
1951-03,cigar,46.25,-81.766667
1951-08,circle,34.259648,-118.308275
1951-10,disk,30.3319444,-81.6558333
1951-11,circle,32.8525,-106.106389
1951-12,cigar,53.1,-2.433333
1952-01,,40.7608333,-111.8902778
1952-05,disk,47.3858333,-122.8263889
1952-06,circle,41.8500000,-87.6500000
1952-06,disk,41.1400000,-104.8197222
1952-06,disk,39.6333333,-105.3166667
1952-06,disk,48.466667,-81.333333
1952-06,,42.7325000,-84.5555556
1952-06,light,25.7738889,-80.1938889
1952-06,fireball,36.884735,-76.299024
1952-07,disk,33.7800000,-118.2616667
1952-07,,38.907231,-77.036464
1952-07,,46.6300000,-95.0886111
1952-10,disk,39.0997222,-94.5783333
1953-01,cigar,33.660135,-97.715556
1953-04,chevron,42.7761111,-71.0777778
1953-06,disk,49.25,-123.133333
1953-06,oval,46.1469444,-122.9072222
1953-07,cylinder,36.1658333,-86.7844444
1953-07,light,38.907231,-77.036464
1953-07,cone,39.8122222,-85.2088889
1953-10,oval,29.9544444,-90.0750000
1953-11,disk,31.968599,-99.901813
1954-06,circle,38.738308,-93.573028
1954-06,disk,33.7488889,-84.3880556
1954-06,disk,29.7630556,-95.3630556
1954-06,disk,29.6007,-95.176952
1954-06,,44.916862,-68.845746
1954-06,light,37.9158333,-122.3105556
1954-06,fireball,52.355518,-1.17432
1954-07,changing,40.946146,-87.453363
1954-08,,47.916667,-74.616667
1954-08,triangle,41.4941667,-87.5216667
1954-09,disk,30.0858333,-94.1016667
1954-10,circle,44.2444444,-86.3241667
1954-10,circle,38.7230556,-80.6500000
1955-02,fireball,51.8,-.2
1955-05,egg,42.1550000,-71.0091667
1955-06,circle,39.4666667,-87.4138889
1955-06,light,37.964253,-91.831833
1955-07,disk,52.355518,-1.17432
1955-07,oval,38.9938889,-105.0563889
1955-08,cigar,28.7088889,-100.4991667
1955-08,light,37.3280556,-87.4988889
1955-10,light,41.9266667,-73.9130556
1956-06,,41.0813889,-81.5191667
1956-06,triangle,29.7630556,-95.3630556
1956-06,flash,36.1538889,-95.9925000
1956-07,disk,38.5816667,-121.4933333
1956-11,circle,45.4647222,-98.4861111
1956-11,rectangle,42.066885,-81.339941
1957-01,,32.7833333,-96.8000000
1957-03,oval,42.537222,-71.615556
1957-05,diamond,41.9266667,-73.9130556
